Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty
Mike Tyson,People and Characters,Sports,Boxing,,0,1
Miriam Makeba,People and Characters,Music,,,1,2
Hanoi,Geography,City,Capital,,1,3
MKBHD,People and Characters,Youtube,,,0,3
oppenheimer,Movies,,,,0,2
Mohamed Salah,People and Characters,Sports,Soccer,,1,2
Hillsong Church,Geography,Places,,2,1,2
Mandalorian,TV Show,,,,0,3
Newton's Second Law,Math and Science,,,,0,3
Macbeth,Language and Literature ,Plays,,,0,1
Nickel,Math and Science,,,,1,2
Black Panther,People and Characters,,,,,1
Masashi Kishimoto,People and Characters,,,,1,3
Mother Teresa,People and Characters,,,,0,2
Monopoly,Games,Boardgame,,,1,1
MrBeast,People and Characters,Youtube,,,1,2
India,Geography,Country,,,,1
Hadedas,Animals,South Africa,,1,1,2
Muammar Gaddafi,People and Characters,Politician,,,0,2
On-on,Games,,,,0,1
Muti,Culture,,,1,1,3
Marikana Massacre,History,South Africa,,,0,3
JPMorgan,Companies,,,1,0,2
Indonesia,Geography,Country,,,,2
Muhammad Ali,People and Characters,Sports,,1,1,1
MasterChef,TV Show,,,,1,2
Nadia Comaneci,People and Characters,Sports,GYmnastists,1,0,2
Nagasaki,History,,,,0,1
Isahaya Bay,Geography,,,,,3
Nadine Gordimer,People and Characters,Politician,,,1,2
Monkey D. Luffy,People and Characters,Anime,,,0,2
Penicillin,Math and Science,,,,0,2
Photosynthesis,Math and Science,,,,0,1
Muvhango,TV Show,,,1,1,2
Israel,Geography,Country,,,,1
Narcos,TV Show,,,,0,3
Mzanzi Fo sho,Music,,,1,1,3
"[Knife, Fork, Spoon, Plate]",Technical,triplets,,,1,3
Italy,Geography,Country,,,,1
Uzumaki Naruto,People and Characters,Anime,TV Show,1,0,2
Moussaka,Food and Drink,Meal,,,0,3
Napoleonic Wars,History,Wars,,,0,3
moby dick,Language and Literature ,Book,,,0,1
"[Large, Medium, Small]",Technical,triplets,,,1,1
Plate Tectonics,Math and Science,,,,1,2
Howl's Moving Castle,TV Show,Anime,,,1,2
Mechanical Keyboard,Technology,,,,1,2
"[Laugh, Giggle, Snicker]",Technical,triplets,,,1,3
Neil Armstrong,People and Characters,,,,0,1
night in tunisia,Music,Song,,,1,3
Nooit,Culture,,,1,1,2
Northern Lights,Nature,,,,0,2
Pain and Glory,Movies,,,,0,2
Pillow fighting,Sports,,,,0,2
Nelly Furtado,People and Characters,Music,Artist,,1,2
Nelson Mandela,People and Characters,Politician,,1,1,1
Nik Naks,Food and Drink,,,1,1,1
Jakarta,Geography,City,Capital,,1,3
Nokia 3310,Technology,Things,,,1,1
Noot vir Noot,TV Show,,,1,0,2
Kakapo,Animals,,,,0,3
Old Fashioned,Food and Drink,Drink,,,0,3
Japan,Geography,Country,,,,1
Pad Thai,Food and Drink,Meal,,,1,3
Johannesburg,Geography,City,,1,,1
Kabul,Geography,City ,,,1,3
My sister's keeper,Language and Literature ,Book,,,0,3
North Atlantic Treaty Organization,History,,,,0,3
"Lions, Tigers, Bears, Oh My!",Language and Literature ,,,,1,2
Narnia,Language and Literature ,Places,,,1,1
"No Woman, No Cry",Music,Lyrics,,,1,2
Komodo Dragon,Animals,,,,1,2
Nicky Oppenheimer,People and Characters,,,,1,2
Pac-Man,Games,,,,1,1
Novak Djokovic,People and Characters,Sports,,,0,3
Louis Vuitton,Companies,,,,1,1
The Office,TV Show,,,,1,2
Oliver Tambo,People and Characters,Politician,,1,1,2
P. W. BOtha,People and Characters,Politician,,1,0,2
Freedom Day,Events,,,1,,2
Neon Genesis Evangelion,TV Show,Anime,,,1,3
Patrice Motsepe,People and Characters,,,,1,2
Peking Duck,Food and Drink,Meal,,,0,3
patricia de lille,People and Characters,Politician ,,,0,2
Kenya,Geography,Country,,,,1
Orphan Black,TV Show,,,,0,3
Massmart,Companies,,,,0,3
Peppermint Crisp,Food and Drink,,,,1,2
Mascara,Things,triplets,,,1,1
"Oranje, Blanje, Blou",History,triplet,,,0,3
What the Frikkadel,Culture,,,1,1,2
Kinshasa,Geography,City,,,1,3
Kiribati,Geography,Country,,,0,3
Perlemoen,Food and Drink,,,,0,3
Klein Karoo,Geography,Landmarks,,,0,2
Monex,Companies,,,,0,3
Kremlin,Geography,Landmarks,,,0,3
noem my skollie,Language and Literature ,,,1,1,2
Kyiv,Geography,City,Capital,,0,3
Parkour,Sports,,,,1,2
MoParks,Companies,,,1,1,2
Ozark,TV Show,,,,1,3
Parks and Recreation,TV Show,,,,0,3
Make the circle bigger,Culture,,,,0,2
Oliver Twist,Language and Literature ,Book,,,1,1
Oops!... I did it again,Music,Lyrics,,,1,1
Peaky Blinders,TV Show,,,,1,3
Lesotho,Geography,Country,,1,0,1
Pictionary,Games,Boardgame,,,1,2
One Flew Over the Cuckoo’s Nest,Language and Literature ,Book,,,0,2
Party in the USA,Music,Lyrics,,,1,2
Origin of Species,Language and Literature ,Book,,,1,2
Pan's Labyrinth ,Movies,,,,1,2
Parasite,Movies,,,,0,2
Logan Paul,People and Characters,Youtube,,,1,2
Paul Kagame,People and Characters,Politician,,,0,2
Princess Mononoke,Movies,,,,1,3
prodigal son,TV Show,,,,0,3
Paul Levesque,People and Characters,Sports,,,1,2
Pho,Food and Drink,Meal,,,1,1
Pearl Harbor,History,Event,,,0,1
Petros Sampras,People and Characters,Sports,,1,0,3
Phumakim,Music,Lyrics,,1,0,3
Pina Colada,Food and Drink,Drink,,,0,2
Nkosi,Culture,,,1,1,2
Liechtenstein,Geography,Country,,1,0,3
Psycho,Movies,,,,0,2
PewDiePie,People and Characters,Youtube,,1,1,3
Steri stumpie,Food and Drink,,,1,1,1
Lima,Geography,City,Capital,,0,3
Lisbon,Geography,City,Capital,,1,2
Phetogo Molawa,People and Characters,South Africa,,,0,3
Orodruin,Language and Literature ,Places,,,0,3
"[Morning, Afternoon, Night]",Technical,triplets,,,1,2
Peloponnesian War,History,Wars,,,1,3
Pieter Groenewald,People and Characters,Politician,,,1,3
Pumped up kicks ,Music,Lyrics,,,1,2
Kudu,Animals,,,,,2
Pokimane,People and Characters,Streamer,,,0,3
Pythagorean Theorem,Math and Science,,,,0,2
quantum computing,Technology,,,,0,3
Rhodes must fall,History,South Africa,,,1,1
"[Notebook, Diary, Journal]",Technical,triplets,,,1,3
Project Runway,TV Show,,,,1,3
Potato Warras,Food and Drink,,,,0,2
Portishead,People and Characters,Music,Artist,,1,3
Los Angeles,Geography,City,,,,2
Potjiekos,Food and Drink,,,1,1,2
pressure cooker,Things,,,,1,2
Quidditch,Sports,,,,0,2
Princess Leia,People and Characters,,,,0,3
Robot,Culture,,,1,0,2
MTN,Companies,,,,,1
Naspers,Companies,,,1,0,2
Pang Doodmaak,Language and Literature ,Book,,1,0,3
Luxembourg,Geography,Country,,,1,3
Perks of being a wallflower,Language and Literature ,Book,,,0,3
Pulp Fiction,Movies,,,,1,1
Pursuit of Happyness,Movies,,,,0,2
Raise Red Lantern,Movies,,,,1,2
Rondavel,Culture,,,1,0,2
Quentin Tarantino,People and Characters,Director,,,1,2
Oke,Culture,,,1,1,2
Pickleball,Sports,,,,1,2
Soccer,Sports,,,,,1
Basketball,Sports,,,,,1
Tennis,Sports,,,,,1
Swimming,Sports,,,,,1
Volleyball,Sports,,,,,2
Cricket,Sports,,,,,1
Baseball,Sports,,,,,1
Table Tennis,Sports,,,,,1
Cycling,Sports,,,,,1
Rugby,Sports,,,,,1
Golf,Sports,,,,,1
Hockey,Sports,,,,,1
Bowling,Sports,,,,,1
Track and Field,Sports,,,,,2
Skiing,Sports,,,,,1
Skateboarding,Sports,,,,,1
Boxing,Sports,,,,,1
Surfing,Sports,,,,,1
Horseback Riding,Sports,,,,,2
R Kelly,People and Characters,Music,Artist,,1,1
REQUIEM FOR A DREAM ,Movies,,,,0,3
Rafael Nadal,People and Characters,Sports,Tennis,,0,1
RINGO STARR,People and Characters,Music,artist,,1,2
Robert Mugabe,People and Characters,Politician,,,0,2
Robson Walton,People and Characters,Book,,,1,2
Roger Federer,People and Characters,Sports,Tennis,,1,2
Satrix,Companies,,,,,3
Pillars of Earth,Language and Literature ,Book,,,1,3
"[Notes, Chords, Scales]",Technical,triplets,,,1,3
Queer Eye for the Straight Guy,TV Show,,,,0,3
Real Housewives,TV Show,,,,1,2
Pokémon,Games,,,,0,1
Rick and Morty,TV Show,,,,0,2
jelly tots,Food and Drink,,,1,0,1
Ronda Rousey,People and Characters,Sports,UFC,,0,2
Machu Picchu,Geography,Landmarks,,,1,2
Scooby-Doo,TV Show,,,,1,2
Padkos,Culture,,,1,1,2
"[Onion, Garlic, Ginger]",Technical,triplets,,,1,2
Red Dead Redemption,Games,,,,1,2
"[Paper, Rock, Scissors]",Technical,triplets,,,1,1
One Piece,TV Show,Anime,,,1,2
Ryan Higa,People and Characters,Youtube,,,0,3
Rubik's Cube,Things,,,,0,1
Madrid,Geography,City,,,,1
Sachin Tendulkar,People and Characters,Sports,,,1,3
Saddam Hussein,People and Characters,Politician,,,0,2
*Painting*,Actions,,,,1,2
Ray tracing,Technology,,,,1,3
"[Park, Neutral, Drive]",Technical,triplets,,,1,2
"Red Light, Green Light",Games,,,,1,3
Netcare,Companies,,,1,1,2
Roosterkoek,Food and Drink,,,1,1,2
Malaysia,Geography,Country,,,,1
Netflix,Companies,,,,0,1
Maldives,Geography,Country,,,1,3
Seinfeld,TV Show,,,,0,3
"[Proton, Neutron, Electron]",Technical,triplets,,,1,3
"[Ready, Set, Go]",Language and Literature ,triplets,,,1,1
Rivonia Trial,History,,,,1,3
*Running*,Actions,,,,1,1
Pride and Prejudice,Language and Literature ,Book,,,1,2
Sangoma,Culture,,,1,0,2
Saitama,People and Characters,Anime,,,1,3
Sharpeville,History,South Africa,,,0,1
Rocky Aur Rani Ki Prem Kahani,Movies,Indian,,,1,3
Mexico,Geography,Country,,,,1
red rover,Games,,,,1,2
Risk,Games,,,,1,2
Run Jozi,Music,Lyrics,,1,1,2
Sam Smith,People and Characters,Music,,,0,2
Coral Reef,Nature,,,,,1
Glacier,Nature,,,,,1
Savanna,Nature,,,,,1
Rainforest,Nature,,,,,1
Tidal Waves,Nature,,,,,2
Hot Springs,Nature,,,,,1
Whirlpools,Nature,,,,,1
Sinkhole,Nature,,,,,2
Sceletium,Nature,South Africa,,1,0,2
Sherlock,TV Show,,,,1,2
liger,Animals,,,,1,2
Mexico City,Geography,City,,,,1
Micronesia,Geography,Country,,,1,3
Khoi and San,People and Characters,South Africa,,1,1,2
Soviet Union,History,,,,0,1
Sago Pudding,Food and Drink,,,,0,3
Uchiha Sasuke,People and Characters,Anime,,,0,3
Schabir Shaik,People and Characters,Politician,,,1,2
As-salamu alaykum,Language and Literature ,Book,,1,1,1
Scrabble,Games,Boardgame,,,1,1
Sebastian Vettel,People and Characters,Sports,F1,,0,3
Sandman,Language and Literature ,Book,,,1,2
Sarafina,Movies,South Africa,,1,1,2
Serena Williams,People and Characters,Sports,Tennis,,1,2
Soweto Uprising,History,South Africa,,1,0,1
Solar System,Math and Science,,,,,1
Shrek,Movies,,,,0,1
Sashimi,Food and Drink,Meal,,,1,2
Sergio Mendez,People and Characters,Music,,,0,2
Shane Dawson,People and Characters,Youtube,,,1,3
Shisa Nyama,Food and Drink,,,,0,3
Lynx,Animals,,,,,2
Shining,Language and Literature ,Book,,,1,2
Space Race,History,Event,,,0,2
Maine Coon,Animals,,,,,2
Manatee,Animals,,,,,2
Mantis Shrimp,Animals,,,,0,3
Naked Mole-Rat,Animals,,,,0,3
Ocelot,Animals,,,,,2
Okapi,Animals,,,,0,3
Pangolin,Animals,,,,0,3
Killer Whale,Animals,,,,,2
Platypus,Animals,,,,0,2
Secretarybird,Animals,,,,0,3
Shoebill,Animals,,,,1,3
PROOF OF STAKE,Technology,,,,1,3
Sarmie,Culture,,,1,1,3
say my name,Music,Lyrics,,,1,2
"[Red, Green, Yellow]",Technical,triplets,,,1,1
Shaquille O'Neal,People and Characters,Sports,Basketball,,0,2
See both sides like Chanel,Music,Lyrics,,,1,2
skilpoppe,Language and Literature ,Book,,1,0,3
Softshell Turtle,Animals,,,,0,3
Minsk,Geography,City,Capital,,1,3
Starlink,Technology,,,,0,3
Quagga,Culture,,,1,1,2
NSFAS,Companies,,,1,1,1
SEX Pistols,Music,Artist,,,1,3
"[Red, White, Blue]",Technical,triplets,,,1,1
Smiley,Food and Drink,,,1,1,3
Sheikh Hasina,People and Characters,Politician,,,1,3
Simpsons,TV Show,,,,0,1
Spanish Flu,History,Event,,,0,2
Monaco,Geography,Country,,,1,2
Silence of Lambs,Movies,,,,1,2
Sister Bettina,Music,South Africa,,1,1,1
SISTERHOOD OF the TRAVELING PANTS,Movies,,,,0,2
"[Shirt, Pants, Jacket]",Technical,triplets,,,1,1
Montenegro,Geography,Country,,,1,3
Stock Market Crash,History,Event,,,0,2
Skeem Saam,TV Show,,,1,1,3
Sopranos,TV Show,,,,1,2
Kai Cenat,People and Characters,Streamer,,,1,3
Moscow,Geography,City,,,,2
Catan,Games,Boardgame,,,0,2
Simone Biles,People and Characters,Sports,GYmnatists,,0,3
Slash,People and Characters,Music,,,0,2
Smosh,People and Characters,Youtube,,,1,3
Global Warming,Events,,,,0,1
Motherwell,Geography,City ,,,0,3
"[Sky, Cloud, Rain]",Technical,triplets,,,1,2
Superego,Music,,,,1,3
Synchronized Swimming,Sports,,,,0,2
Takkies,Culture,,,1,0,2
Socrates,People and Characters,,,,0,3
South Park,TV Show,,,,0,1
NVIDIA ,Companies,,,,0,2
Old Mutual,Companies,,,,,1
pedro's,Companies,South Africa,,1,1,2
PEP,Companies,,,1,0,1
Pick n Pay,Companies,,,,,1
Royal Dutch Shell,Companies,,,1,1,3
Saleh Bbq Tonight ,Companies,,,,0,2
Sanlam,Companies,,,,,1
Sasol,Companies,,,,,1
Saudi Aramco,Companies,,,1,1,3
Scorpions,Companies,Animals,,1,0,2
Shoprite,Companies,,,,,1
Spotify,Companies,,,,1,1
Standard Bank,Companies,,,,,1
Tymebank,Companies,,,1,0,1
Vodacom,Companies,,,,,1
stenography,Things,,,,1,3
Slumdog Millionaire,Movies,,,,1,1
Mount Everest,Geography,Landmarks,,,0,1
Street Fighter ,Games,,,,1,1
Sweet Caroline,Music,Lyrics,,1,0,1
TANGSHAN EARTHQUAKE,History,Natural Disaster,,,0,3
Tata ma chance! Tata ma millions,Culture,,,1,0,2
Solomon Mahlangu,People and Characters,Politician,,,1,3
STEP BROTHERS ,Movies,,,,0,1
"[Snap, Crackle, Pop]",Technical,triplets,,,1,1
stethoscope,Things,,,,0,2
stokvel,Culture,,,1,0,2
Talking to the Moon,Music,Lyrics,,,0,2
Star Trek,TV Show,,,,1,2
Terminator,Movies,,,,1,1
Mount Fuji,Geography,Landmarks,,,0,2
Sword Art Online,TV Show,Anime,,,1,3
Stranger Things,TV Show,,,,0,2
"[Stamp, Envelope, Letter]",Technical,triplets,,,1,3
"Stop, Drop, Roll",Language and Literature ,triplets,,,1,1
Mount Rushmore,Geography,Landmarks,,,0,3
swiss army knife,Things,,,,1,1
mzoli's,Geography,Places,,,0,2
Steve Biko,People and Characters,Politician,,1,1,1
Steve Redgrave,People and Characters,Sports,,,1,2
Tokoloshi,Culture,,,1,0,1
Survivor,TV Show,,,,1,1
Steven Spielberg,People and Characters,Director,,,1,2
*Surfing*,Actions,,,,1,1
Taekwondo,Sports,,,,0,2
Namaqualand,Geography,Landmarks,,,0,2
Stone Cold Steve Austin,People and Characters,Sports,WWE,,0,2
The Great Trek ,History,Event,,,0,2
Good Friday,Events,,,,,1
Nauru,Geography,Country,,,0,3
Taliep Petersen,People and Characters,South Africa,,,1,2
Super Mario Bros.,Games,,,,1,1
Ted Talks,TV Show,,,,0,2
tamagotchi,Things,,,,1,1
Tetris,Games,,,,1,1
Thermodynamics,Math and Science,,,,0,2
"[Strawberry, Raspberry, Blueberry]",Technical,triplets,,,1,2
Bakkie,Things,South Africa,,1,0,1
guy fawkes day,Events,,,1,1,2
Heritage Day ,Events,,,,,2
Hermanus Whale Festival,Events,,,1,1,2
Human Rights Day ,Events,,,,,1
Independence Day,Events,,,,,2
King of the air,Events,,,,0,3
Labour Day,Events,,,,,1
Liberation Day,Events,Holidays,,,0,3
Mardi Gras,Events,,,,,2
Martin Luther King Jr. Day,Events,,,,,2
Memorial Day,Events,,,,,2
National Women's Day,Events,Holidays,,1,0,2
New Year’s Day,Events,,,,,1
Oktoberfest,Events,,,,,2
Olympics,Events,,,,,1
Oppikoppi,Events,,,1,0,3
Rio Carnival,Events,,,,,2
Running of the Bulls (Pamplona),Events,,,,,3
St. Patrick's Day,Events,Holidays,,,0,2
Thanksgiving,Events,,,,,1
The Super Bowl,Events,,,,,1
Tomorrowland,Events,,,,0,3
Two oceans marathon,Events,,,1,0,2
Up the Creek,Events,,,,0,3
Valentine’s Day,Events,,,,,1
Workers’ Day,Events,,,1,,1
Tatjana Smith,People and Characters,Sports,,,1,2
*Sweeping*,Actions,,,,1,1
Dassie,Culture,,,1,1,1
The Elder Scrolls,Games,,,,1,2
The Last of Us,Games,,,,0,3
Tiramisu,Food and Drink,Meal,,,0,3
Thabo Mbeki,People and Characters,Politician,,,0,2
Triathlon,Sports,,,,1,2
Turing Machine,Math and Science,,,,0,3
Ubuntu,Culture,,,1,0,1
"Sugar, Spice and Everything Nice",Language and Literature ,,,,1,2
*Taking Photos*,Actions,,,,1,2
Theresa May,People and Characters,Politician,,,1,2
The Legend of Zelda,Games,,,,0,3
Netherlands,Geography,Country,,,,2
Treaty of Versailles,History,Event,,,0,2
Top Chef,TV Show,,,,1,3
Thomas Edison,People and Characters,,,,0,2
*typing*,Actions,,,,1,1
Youth Day,Events,,,1,,1
Slaughterhouse-Five,Language and Literature ,Book,,,0,3
Tim Berners-Lee,People and Characters,,,,1,3
Tom Brady,People and Characters,Sports,American Football,,0,3
Tony Blair,People and Characters,Politician,,,1,2
True Detective,TV Show,,,,0,2
Woolworths,Companies,,,,,1
Tom Yum Soup,Food and Drink,Meal,,,1,3
Umlungu,Culture,,,1,0,3
New Delhi,Geography,City,Capital,,1,2
They not like us,Music,Lyrics,,,1,2
they were all yellow,Music,Lyrics,,,1,2
Thunee,Games,,,,1,3
tito mboweni sha sha,Music,Lyrics,,1,1,3
Trifle,Food and Drink,,,,0,3
TV license,Things,,,,0,1
Laos,Geography,City,,,,3
Toto Wolf,People and Characters,Sports,F1,,0,2
Trivial Pursuit,Games,Boardgame,,,1,3
Trevor Noah,People and Characters,South Africa,,1,1,1
TKZee,Music,Artist,,1,1,2
Tattooist of Auschwitz,Language and Literature ,Book,,,1,3
Tokoloshe,Culture,,,1,1,2
Twilight Zone,TV Show,,,,1,3
To Kill a Mockingbird,Language and Literature ,Book,,,1,2
New York,Geography,City,,,,1
Tyla,People and Characters,Music,Artist,,0,1
Tsotsi,Movies,South Africa,,1,1,1
"[Swim, Jog, Cycle]",Technical,triplets,,,1,2
Vulindlela,Music,,,1,1,3
Uieslaai,Food and Drink,,,1,1,2
Usain Bolt,People and Characters,Sports,Runner,,1,1
trappe van vergelyking,Language and Literature ,Book,,,1,1
V FOR VENDETTA,Movies,,,,0,2
United Nations,History,Event,,,0,1
New Zealand,Geography,Country,,,,1
Norway,Geography,Country,,,,1
Orania,Geography,Landmarks,,,0,1
Oslo,Geography,City,Capital,,0,2
vie maak die jol vol,Culture,,,1,1,2
watch me nae nae,Music,Lyrics,,,1,1
Virat Kohli,People and Characters,Sports,Cricket,,1,3
Twister,Games,,,,1,1
Ultimate Frisbee,Sports,,,,1,2
Twelfth Night,Language and Literature ,Plays,,,0,3
Ottawa,Geography,City,,,0,2
Vietnam War,History,Wars,,,0,2
"[First, Second, Third]",Technical,triplets,,,1,1
Valley of the End,Language and Literature ,Places,,,0,3
Wakanda,Language and Literature ,Places,,,0,1
Calgary,Geography,City,,,,3
UNO,Games,,,,1,1
Vladimir Lenin,People and Characters,Politician,,,1,2
Virtual private network,Technology,,,,1,3
Twin Peaks,TV Show,,,,0,3
*Washing*,Actions,,,,1,1
Veep,TV Show,,,,1,3
Whiskey Sour,Food and Drink,Drink,,,0,3
"[Vampire, Werewolf, Zombie]",Technical,triplets,,,0,2
The Witcher,Games,,,,1,3
World Wide Web,Technology,,,,0,1
The Voice,TV Show,,,,0,2
Wayde van Niekerk,People and Characters,Sports,Runner,1,0,1
voetstoots,Culture,,,1,1,2
Ouagadougou,Geography,City,,,0,3
watermelon sugar high,Music,Lyrics,,,1,2
Winnie Mandela,People and Characters,South Africa,,,1,1
White Russian,Food and Drink,Drink,,,1,3
World of Warcraft,Games,,,,1,3
Yasis,Culture,,,1,0,2
You mustn't push!,Culture,,,0,0,2
West Wing,TV Show,,,,1,3
We Are the Champions,Music,Lyrics,,,0,1
Westworld,TV Show,,,,0,3
Worcestershire sauce,Food and Drink,,,,0,3
Winston Churchill,People and Characters,Politician,,,0,1
World War I,History,Wars,,,0,1
World War II,History,Wars,,,1,1
The Wire,TV Show,,,,1,2
Yebo yes,Culture,,,1,0,2
Mozart,People and Characters,Music,Artist,,1,1
Vuvuzela,Culture,,,1,1,1
Woody Allen,People and Characters,Director,,,0,2
X-Files,TV Show,,,,0,2
wooden spoon,Things,,,,1,1
"WP, JOU LEKKER DING",Culture,,,1,0,1
Xi Jinping,People and Characters,Politician,,,0,3
Y2K,History,,,,0,1
YELLOW RIVER FLOOD,History,Natural Disaster,,,0,2
Zef,Culture,,,1,0,2
Zinc,Math and Science,,,,0,1
"We will, we will rock you",Music,Lyrics,,,0,1
xQc,People and Characters,Streamer,,,1,3
"[Win, Lose, Draw]",Technical,triplets,,,0,1
YoungstaCPT,People and Characters,Music,,,0,2
Yamaha,Companies,,,1,1,2
YMCA,Music,Lyrics,,,0,1
"You Are My Fire, My One Desire",Music,Lyrics,,,0,2
Zinedine Zidane,People and Characters,Sports,Soccer,,0,2
"[English, Afrikaans, Xhosa]",Technical,triplets,,,0,2
Palace of Versailles,Geography,Landmarks,,,0,2
Palau,Geography,Country,,,0,3
Pangea,Geography,Landmarks,,,0,2
Paris,Geography,City,,,,1
Pennsylvania,Geography,Places,,,0,2
Peru,Geography,Country,,,,2
Petra,Geography,Landmarks,,,0,2
Philadelphia,Geography,Places,,,0,3
Pluto,Geography,planet,,,0,1
Pocono Mountains,Geography,Places,,,0,3
Portugal,Geography,Country,,,,1
Potala Palace,Geography,Landmarks,,,0,2
Prague,Geography,Country,,,0,2
Pretoria,Geography,City,,1,,1
Pyramids of Giza,Geography,Landmarks,,,0,2
Rome,Geography,City,,,,1
Russia,Geography,Country,,,,1
San Salvador,Geography,City,,,0,3
Santiago,Geography,City,,,0,2
São Tomé and Príncipe,Geography,Country,,,0,3
Saudi Arabia,Geography,Country,,,,1
Seoul,Geography,City,,,,2
Shard,Geography,Landmarks,,,0,3
Shenzhen,Geography,City,,1,0,2
Sistine Chapel,Geography,Landmarks,,1,0,2
Somalia,Geography,Country,,,0,3
South Africa,Geography,Country,,1,,1
South Korea,Geography,Country,,,,1
Spain,Geography,Country,,,,1
St. Basil's Cathedral,Geography,Landmarks,,,0,3
Statue of Liberty,Geography,Landmarks,,1,0,1
Stockholm,Geography,City,Capital,1,0,3
Stonehenge,Geography,Landmarks,,,0,3
suez canal,Geography,Landmarks,,1,0,2
Suriname,Geography,Country,,,0,3
Sweden,Geography,Country,,,,2
Switzerland,Geography,Country,,,,2
Sydney,Geography,City,,,,1
Sydney Opera House,Geography,Landmarks,,,0,1
Taj Mahal,Geography,Landmarks,,1,0,1
Terracotta Army,Geography,Landmarks,,1,0,3
Thailand,Geography,Country,,,,1
Tokyo,Geography,City,,,,1
Tonga,Geography,Country,,,0,3
Trench Town,Geography,Places,,1,0,2
Turkey,Geography,Country,,,,1
Uluru,Geography,Landmarks,,,0,3
umhlanga rocks,Geography,Places,,,0,3
United Kingdom,Geography,Country,,,,1
United States,Geography,Country,,,,1
university of the western cape,Geography,Places,,1,0,1
US Route 66,Geography,Places,,,0,3
V&A Waterfront,Geography,Places,,1,0,1
Vanuatu,Geography,Country,,,0,3
Victoria Falls,Geography,Landmarks,,,0,1
Vietnam,Geography,Country,,,,2
Star-Nosed Mole,Animals,,,,0,3
William Smith,People and Characters,,,1,,1
Microsoft Teams,Company,,,1,,2
Slack,Company,,,,,2
Zoe Saldana,People and Characters,,,,,2
James Stockdale,People and Characters,,,,,2
ibuprofen,Math and Science,,,,,2
Section 33,Math and Science,,,,,3
rat king,Math and Science,,,1,,2
Volkstaat,Geography,Places,,3,0,3
Caligula,People and Characters,,,,,3
AINSLEY HARRIOTT,People and Characters,,,,,3
Alfredo Bowman,People and Characters,,,,,3
balkan wars,History,,,,,3
Nipsey Hussle,People and Characters,Music,,,,3
say ma now,Culture,,,,,2
harvey weinstein,People and Characters,,,,,2
Ouroboros,history,,,,,3
Ray Brown,People and Characters,Music,Artist,,,3
Wombat,Animals,,,,,2
Sterling Golden,People and Characters,Sports,wwe,,,3
Tom Hanks,People and Characters,Actor,,,,2
Leonardo DiCaprio,People and Characters,Actor,,,,1
Brad Pitt,People and Characters,Actor,,,,1
Will Smith,People and Characters,Actor,,,,1
Scarlett Johansson,People and Characters,Actor,,,,1
Robert Downey Jr.,People and Characters,Actor,,,,1
Johnny Depp,People and Characters,Actor,,,,1
Angelina Jolie,People and Characters,Actor,,,,1
Denzel Washington,People and Characters,Actor,,,,2
Keanu Reeves,People and Characters,Actor,,,,1
Meryl Streep,People and Characters,Actor,,,,2
Chris Hemsworth,People and Characters,Actor,,,,2
Emma Stone,People and Characters,Actor,,,,2
Matt Damon,People and Characters,Actor,,,,1
Jennifer Lawrence,People and Characters,Actor,,,,2
Ryan Reynolds,People and Characters,Actor,,,,1
Rami Malek,People and Characters,Actor,,,,2
Tom Holland,People and Characters,Actor,,,,2
Chris Pratt,People and Characters,Actor,,,,2
Awkwafina,People and Characters,Actor,,,,2
Benedict Cumberbatch,People and Characters,Actor,,,,3
Adam Driver,People and Characters,Actor,,,,2
Zendaya,People and Characters,Actor,,,,2
Timothée Chalamet,People and Characters,Actor,,,,2
Julia Roberts,People and Characters,Actor,,,,1
Christian Bale,People and Characters,Actor,,,,1
Chris Evans,People and Characters,Actor,,,,2
Natalie Portman,People and Characters,Actor,,,,2
Samuel L. Jackson,People and Characters,Actor,,,,1
"What is love, baby don't hurt me",Music,Lyrics,,,,2
Mark Ruffalo,People and Characters,Actor,,,,2
Wellington,Geography,City,Capital,,0,3
The Shah ,People and Characters,Politician,,,,3
Pegasus,Company,,,,,1
